2020:06:25-01:24:00,3831.3,3829.1,3831.7,3829.1
2020:06:25-01:25:00,3829.2,3827.1,3829.2,3827.1
2020:06:25-01:26:00,3827.9,3826.1,3828.6,3826.1
2020:06:25-01:27:00,3826.6,3826.6,3833.5,3833.1
2020:06:25-01:28:00,3832.7,3830.1,3834.1,3834.1
2020:06:25-01:29:00,3834.2,3831.6,3836.6,3831.6
2020:06:25-01:30:00,3831.2,3831.1,3847.8,3842.2
2020:06:25-01:31:00,3842.6,3840.1,3844.1,3842.0
2020:06:25-01:32:00,3842.6,3842.1,3846.1,3843.1
2020:06:25-01:33:00,3843.0,3840.2,3844.1,3843.2
2020:06:25-01:34:00,3843.1,3838.7,3843.1,3842.1
2020:06:25-01:35:00,3842.2,3839.1,3842.2,3839.1
2020:06:25-01:36:00,3839.2,3837.2,3842.1,3842.1
2020:06:25-01:37:00,3841.1,3838.7,3841.2,3839.3
2020:06:25-01:38:00,3839.2,3838.0,3839.7,3839.1
2020:06:25-01:39:00,3838.7,3838.1,3840.6,3838.1
2020:06:25-01:40:00,3839.1,3838.6,3841.9,3841.1
2020:06:25-01:41:00,3840.6,3835.0,3840.6,3835.1
2020:06:25-01:42:00,3835.9,3834.1,3837.1,3836.1
2020:06:25-01:43:00,3835.7,3835.7,3839.2,3839.2
2020:06:25-01:44:00,3838.4,3836.1,3839.2,3839.1
2020:06:25-01:45:00,3838.2,3838.1,3839.2,3838.1
2020:06:25-01:46:00,3838.6,3838.6,3841.5,3840.6
2020:06:25-01:47:00,3841.1,3841.1,3845.0,3844.1
2020:06:25-01:48:00,3844.5,3843.1,3846.0,3845.1
2020:06:25-01:49:00,3845.5,3843.1,3846.0,3845.1
2020:06:25-01:50:00,3844.7,3840.6,3845.1,3841.1
2020:06:25-01:51:00,3840.7,3840.1,3842.2,3842.1
2020:06:25-01:52:00,3841.7,3840.1,3842.2,3841.1
2020:06:25-01:53:00,3841.2,3841.1,3844.1,3843.1
2020:06:25-01:54:00,3842.7,3841.1,3843.1,3842.1
2020:06:25-01:55:00,3841.3,3840.1,3843.2,3843.1
2020:06:25-01:56:00,3843.2,3840.1,3844.2,3840.1
2020:06:25-01:57:00,3839.7,3838.7,3840.2,3840.1
2020:06:25-01:58:00,3840.2,3839.1,3841.1,3839.1
2020:06:25-01:59:00,3838.7,3835.2,3839.1,3837.1
2020:06:25-02:00:00,3837.2,3836.1,3844.1,3842.1
2020:06:25-02:01:00,3843.0,3840.3,3844.1,3841.1
2020:06:25-02:02:00,3841.5,3841.1,3844.0,3843.5
2020:06:25-02:03:00,3844.0,3842.1,3845.9,3845.1
2020:06:25-02:04:00,3844.1,3841.1,3846.0,3843.1
2020:06:25-02:05:00,3843.0,3839.1,3843.1,3840.1
2020:06:25-02:06:00,3839.2,3837.2,3839.7,3839.1
2020:06:25-02:07:00,3839.0,3836.3,3839.0,3838.2
2020:06:25-02:08:00,3838.1,3835.2,3839.1,3835.7
2020:06:25-02:09:00,3835.2,3829.3,3835.6,3833.3
